chartink_symbol,nse_symbol,quantity,amount,broker,transaction_type,product,category
AJAXENGG,AJAXENGG-EQ,,20000,*,B,CNC,small_cap
AJMERA,AJMERA-EQ,,20000,*,B,CNC,small_cap
AJOONI,AJOONI-EQ,,20000,*,B,CNC,small_cap
AKASH,AKASH-EQ,,20000,*,B,CNC,small_cap
AKCAPIT,AKCAPIT-EQ,,20000,*,B,CNC,small_cap
AKG,AKG-EQ,,20000,*,B,CNC,small_cap
AKI,AKI-EQ,,20000,*,B,CNC,small_cap
AKSHAR,AKSHAR-EQ,,20000,*,B,CNC,small_cap
AKSHARCHEM,AKSHARCHEM-EQ,,20000,*,B,CNC,small_cap
AKSHOPTFBR,AKSHOPTFBR-EQ,,20000,*,B,CNC,small_cap
AKUMS,AKUMS-EQ,,20000,*,B,CNC,small_cap
ALANKIT,ALANKIT-EQ,,20000,*,B,CNC,small_cap
ALBERTDAVD,ALBERTDAVD-EQ,,20000,*,B,CNC,small_cap
ALEMBICLTD,ALEMBICLTD-EQ,,20000,*,B,CNC,small_cap
ALGOQUANT,ALGOQUANT-EQ,,20000,*,B,CNC,small_cap
ALICON,ALICON-EQ,,20000,*,B,CNC,small_cap
ALIVUS,ALIVUS-EQ,,20000,*,B,CNC,small_cap
ALKALI,ALKALI-EQ,,20000,*,B,CNC,small_cap
ALKEM,ALKEM-EQ,,30000,*,B,CNC,mid_cap
ALKYLAMINE,ALKYLAMINE-EQ,,20000,*,B,CNC,small_cap
ALLCARGO,ALLCARGO-EQ,,20000,*,B,CNC,small_cap
ALLDIGI,ALLDIGI-EQ,,20000,*,B,CNC,small_cap
ALLTIME,ALLTIME-EQ,,20000,*,B,CNC,small_cap
ALMONDZ,ALMONDZ-EQ,,20000,*,B,CNC,small_cap
ALOKINDS,ALOKINDS-EQ,,20000,*,B,CNC,small_cap
ALPA,ALPA-EQ,,20000,*,B,CNC,small_cap
ALPHAGEO,ALPHAGEO-EQ,,20000,*,B,CNC,small_cap
AMAGI,AMAGI-EQ,,20000,*,B,CNC,small_cap
AMANTA,AMANTA-EQ,,20000,*,B,CNC,small_cap
AMBALALSA,AMBALALSA-EQ,,20000,*,B,CNC,small_cap
AMBER,AMBER-EQ,,20000,*,B,CNC,small_cap
AMBICAAGAR,AMBICAAGAR-EQ,,20000,*,B,CNC,small_cap
AMBIKCO,AMBIKCO-EQ,,20000,*,B,CNC,small_cap
AMBUJACEM,AMBUJACEM-EQ,,50000,*,B,CNC,large_cap
AMDIND,AMDIND-EQ,,20000,*,B,CNC,small_cap
AMIRCHAND,AMIRCHAND-EQ,,20000,*,B,CNC,small_cap
AMJLAND,AMJLAND-EQ,,20000,*,B,CNC,small_cap
AMNPLST,AMNPLST-EQ,,20000,*,B,CNC,small_cap
AMRUTANJAN,AMRUTANJAN-EQ,,20000,*,B,CNC,small_cap
ANANDRATHI,ANANDRATHI-EQ,,20000,*,B,CNC,small_cap
ANANTRAJ,ANANTRAJ-EQ,,20000,*,B,CNC,small_cap
ANDHRAPAP,ANDHRAPAP-EQ,,20000,*,B,CNC,small_cap
ANDHRSUGAR,ANDHRSUGAR-EQ,,20000,*,B,CNC,small_cap
ANGELONE,ANGELONE-EQ,,20000,*,B,CNC,small_cap
ANIKINDS,ANIKINDS-EQ,,20000,*,B,CNC,small_cap
ANKITMETAL,ANKITMETAL-EQ,,20000,*,B,CNC,small_cap
ANMOL,ANMOL-EQ,,20000,*,B,CNC,small_cap
ANSALAPI,ANSALAPI-EQ,,20000,*,B,CNC,small_cap
ANTELOPUS,ANTELOPUS-EQ,,20000,*,B,CNC,small_cap
ANTGRAPHIC,ANTGRAPHIC-EQ,,20000,*,B,CNC,small_cap
ANTHEM,ANTHEM-EQ,,20000,*,B,CNC,small_cap
ANUHPHR,ANUHPHR-EQ,,20000,*,B,CNC,small_cap
ANUP,ANUP-EQ,,20000,*,B,CNC,small_cap
ANURAS,ANURAS-EQ,,20000,*,B,CNC,small_cap
APARINDS,APARINDS-EQ,,30000,*,B,CNC,mid_cap
APCL,APCL-EQ,,20000,*,B,CNC,small_cap
APCOTEXIND,APCOTEXIND-EQ,,20000,*,B,CNC,small_cap
APEX,APEX-EQ,,20000,*,B,CNC,small_cap
APLAPOLLO,APLAPOLLO-EQ,,30000,*,B,CNC,mid_cap
APLLTD,APLLTD-EQ,,20000,*,B,CNC,small_cap
APOLLO,APOLLO-EQ,,20000,*,B,CNC,small_cap
APOLLOHOSP,APOLLOHOSP-EQ,,50000,*,B,CNC,large_cap
APOLLOPIPE,APOLLOPIPE-EQ,,20000,*,B,CNC,small_cap
APOLLOTYRE,APOLLOTYRE-EQ,,30000,*,B,CNC,mid_cap
APOLSINHOT,APOLSINHOT-EQ,,20000,*,B,CNC,small_cap
APTECHT,APTECHT-EQ,,20000,*,B,CNC,small_cap
APTUS,APTUS-EQ,,20000,*,B,CNC,small_cap
AQYLON,AQYLON-EQ,,20000,*,B,CNC,small_cap
ARCHIDPLY,ARCHIDPLY-EQ,,20000,*,B,CNC,small_cap
ARCHIES,ARCHIES-EQ,,20000,*,B,CNC,small_cap
ARE&M,ARE&M-EQ,,20000,*,B,CNC,small_cap
ARENTERP,ARENTERP-EQ,,20000,*,B,CNC,small_cap
ARFIN,ARFIN-EQ,,20000,*,B,CNC,small_cap
ARIES,ARIES-EQ,,20000,*,B,CNC,small_cap
ARIHANT,ARIHANT-EQ,,20000,*,B,CNC,small_cap
ARIHANTCAP,ARIHANTCAP-EQ,,20000,*,B,CNC,small_cap
ARIHANTSUP,ARIHANTSUP-EQ,,20000,*,B,CNC,small_cap
ARIS,ARIS-EQ,,20000,*,B,CNC,small_cap
ARKADE,ARKADE-EQ,,20000,*,B,CNC,small_cap
ARMANFIN,ARMANFIN-EQ,,20000,*,B,CNC,small_cap
AROGRANITE,AROGRANITE-EQ,,20000,*,B,CNC,small_cap
ARROWGREEN,ARROWGREEN-EQ,,20000,*,B,CNC,small_cap
ARSHIYA,ARSHIYA-EQ,,20000,*,B,CNC,small_cap
ARSSBL,ARSSBL-EQ,,20000,*,B,CNC,small_cap
ARTEMISMED,ARTEMISMED-EQ,,20000,*,B,CNC,small_cap
ARTNIRMAN,ARTNIRMAN-EQ,,20000,*,B,CNC,small_cap
ARVEE,ARVEE-EQ,,20000,*,B,CNC,small_cap
ARVIND,ARVIND-EQ,,20000,*,B,CNC,small_cap
ARVINDFASN,ARVINDFASN-EQ,,20000,*,B,CNC,small_cap
ARVSMART,ARVSMART-EQ,,20000,*,B,CNC,small_cap
ASAHIINDIA,ASAHIINDIA-EQ,,20000,*,B,CNC,small_cap
ASAHISONG,ASAHISONG-EQ,,20000,*,B,CNC,small_cap
ASAL,ASAL-EQ,,20000,*,B,CNC,small_cap
ASALCBR,ASALCBR-EQ,,20000,*,B,CNC,small_cap
ASHAPURMIN,ASHAPURMIN-EQ,,20000,*,B,CNC,small_cap
ASHIANA,ASHIANA-EQ,,20000,*,B,CNC,small_cap
ASHIKA,ASHIKA-EQ,,20000,*,B,CNC,small_cap
ASHIMASYN,ASHIMASYN-EQ,,20000,*,B,CNC,small_cap
ASHOKA,ASHOKA-EQ,,20000,*,B,CNC,small_cap
ASHOKAMET,ASHOKAMET-EQ,,20000,*,B,CNC,small_cap
ASHOKLEY,ASHOKLEY-EQ,,30000,*,B,CNC,mid_cap
ASIANENE,ASIANENE-EQ,,20000,*,B,CNC,small_cap
ASIANHOTNR,ASIANHOTNR-EQ,,20000,*,B,CNC,small_cap
ASIANPAINT,ASIANPAINT-EQ,,50000,*,B,CNC,large_cap
ASIANTILES,ASIANTILES-EQ,,20000,*,B,CNC,small_cap
ASKAUTOLTD,ASKAUTOLTD-EQ,,20000,*,B,CNC,small_cap
ASMS,ASMS-EQ,,20000,*,B,CNC,small_cap
ASPINWALL,ASPINWALL-EQ,,20000,*,B,CNC,small_cap
ASTAR,ASTAR-EQ,,20000,*,B,CNC,small_cap
ASTEC,ASTEC-EQ,,20000,*,B,CNC,small_cap
ASTERDM,ASTERDM-EQ,,20000,*,B,CNC,small_cap
ASTRAL,ASTRAL-EQ,,30000,*,B,CNC,mid_cap
ASTRAMICRO,ASTRAMICRO-EQ,,20000,*,B,CNC,small_cap
ASTRAZEN,ASTRAZEN-EQ,,20000,*,B,CNC,small_cap
ASTRON,ASTRON-EQ,,20000,*,B,CNC,small_cap
ATALREAL,ATALREAL-EQ,,20000,*,B,CNC,small_cap
ATAM,ATAM-EQ,,20000,*,B,CNC,small_cap
ATGL,ATGL-EQ,,30000,*,B,CNC,mid_cap
ATHERENERG,ATHERENERG-EQ,,20000,*,B,CNC,small_cap
ATL,ATL-EQ,,20000,*,B,CNC,small_cap
ATLANTAA,ATLANTAA-EQ,,20000,*,B,CNC,small_cap
ATLANTAELE,ATLANTAELE-EQ,,20000,*,B,CNC,small_cap
ATLASCYCLE,ATLASCYCLE-EQ,,20000,*,B,CNC,small_cap
ATUL,ATUL-EQ,,50000,*,B,CNC,large_cap
ATULAUTO,ATULAUTO-EQ,,20000,*,B,CNC,small_cap
AUBANK,AUBANK-EQ,,30000,*,B,CNC,mid_cap
AURIGROW,AURIGROW-EQ,,20000,*,B,CNC,small_cap
AURIONPRO,AURIONPRO-EQ,,20000,*,B,CNC,small_cap
AUROPHARMA,AUROPHARMA-EQ,,30000,*,B,CNC,mid_cap
AURUM,AURUM-EQ,,20000,*,B,CNC,small_cap
AUSOMENT,AUSOMENT-EQ,,20000,*,B,CNC,small_cap
AUTOAXLES,AUTOAXLES-EQ,,20000,*,B,CNC,small_cap
AUTOIND,AUTOIND-EQ,,20000,*,B,CNC,small_cap
AVADHSUGAR,AVADHSUGAR-EQ,,20000,*,B,CNC,small_cap
AVAILFC,AVAILFC-EQ,,20000,*,B,CNC,small_cap
AVALON,AVALON-EQ,,20000,*,B,CNC,small_cap
AVANTEL,AVANTEL-EQ,,20000,*,B,CNC,small_cap
AVANTIFEED,AVANTIFEED-EQ,,20000,*,B,CNC,small_cap
AVG,AVG-EQ,,20000,*,B,CNC,small_cap
AVL,AVL-EQ,,20000,*,B,CNC,small_cap
AVONMORE,AVONMORE-EQ,,20000,*,B,CNC,small_cap
