symbol,category
BAJAJHLDNG,small_cap
BALRAMCHIN,small_cap
BASF,small_cap
BATAINDIA,small_cap
BAYERCROP,small_cap
BBTC,small_cap
BEML,small_cap
BIKAJI,small_cap
BLS,small_cap
BLUEDART,small_cap
BLUEJET,small_cap
BRIGADE,small_cap
BSOFT,small_cap
CAMPUS,small_cap
CAMS,small_cap
CANBK,small_cap
CANFINHOME,small_cap
CAPLIPOINT,small_cap
CARBORUNIV,small_cap
CASTROLIND,small_cap
CCL,small_cap
CDSL,small_cap
CEATLTD,small_cap
CENTRALBK,small_cap
CENTURYPLY,small_cap
CERA,small_cap
CESC,small_cap
CGCL,small_cap
CGPOWER,small_cap
CHALET,small_cap
CHAMBLFERT,small_cap
CHENNPETRO,small_cap
CHOICEIN,small_cap
CHOLAFIN,small_cap
CHOLAHLDNG,small_cap
CLEAN,small_cap
COHANCE,small_cap
CONCORDBIO,small_cap
CRAFTSMAN,small_cap
CREDITACC,small_cap
CROMPTON,small_cap
CUB,small_cap
CYIENT,small_cap
DATAPATTNS,small_cap
DBREALTY,small_cap
DCMSHRIRAM,small_cap
DEEPAKFERT,small_cap
DELHIVERY,small_cap
DEVYANI,small_cap
DOMS,small_cap
ECLERX,small_cap
EIDPARRY,small_cap
EIHOTEL,small_cap
ELECON,small_cap
ELGIEQUIP,small_cap
EMCURE,small_cap
ENGINERSIN,small_cap
ENRIN,small_cap
ERIS,small_cap
ETERNAL,small_cap
FACT,small_cap
FINCABLES,small_cap
FINPIPE,small_cap
FIRSTCRY,small_cap
FIVESTAR,small_cap
FORCEMOT,small_cap
FSL,small_cap
GAIL,small_cap
GESHIP,small_cap
GILLETTE,small_cap
GMDCLTD,small_cap
GODFRYPHLP,small_cap
GODIGIT,small_cap
GODREJAGRO,small_cap
GPIL,small_cap
GRANULES,small_cap
GRAPHITE,small_cap
GRAVITA,small_cap
GRSE,small_cap
GSPL,small_cap
HAL,small_cap
HAPPSTMNDS,small_cap
HBLENGINE,small_cap
HEG,small_cap
HEXT,small_cap
HFCL,small_cap
HINDCOPPER,small_cap
HOMEFIRST,small_cap
HONASA,small_cap
HSCL,small_cap
HYUNDAI,small_cap
IDBI,small_cap
IEX,small_cap
IFCI,small_cap
IGIL,small_cap
IIFL,small_cap
IKS,small_cap
INDGN,small_cap
INDHOTEL,small_cap
INDIACEM,small_cap
INDIAMART,small_cap
INOXINDIA,small_cap
INOXWIND,small_cap
INTELLECT,small_cap
IOB,small_cap
IOC,small_cap
IRCON,small_cap
IRFC,small_cap
ITCHOTELS,small_cap
ITI,small_cap
JBCHEPHARM,small_cap
JBMA,small_cap
JINDALSAW,small_cap
JINDALSTEL,small_cap
JIOFIN,small_cap
JKTYRE,small_cap
JMFINANCIL,small_cap
JPPOWER,small_cap
JSWCEMENT,small_cap
JSWENERGY,small_cap
JUBLINGREA,small_cap
JUBLPHARMA,small_cap
JWL,small_cap
JYOTHYLAB,small_cap
JYOTICNC,small_cap
KAJARIACER,small_cap
KARURVYSYA,small_cap
KAYNES,small_cap
KEC,small_cap
KFINTECH,small_cap
KIMS,small_cap
KIRLOSBROS,small_cap
KIRLOSENG,small_cap
KPIL,small_cap
KSB,small_cap
LALPATHLAB,small_cap
LATENTVIEW,small_cap
LAURUSLABS,small_cap
LEMONTREE,small_cap
LICI,small_cap
LODHA,small_cap
LTFOODS,small_cap
LTIM,small_cap
MAHSCOOTER,small_cap
MAHSEAMLES,small_cap
MANAPPURAM,small_cap
MANYAVAR,small_cap
MAPMYINDIA,small_cap
MCX,small_cap
METROPOLIS,small_cap
MGL,small_cap
MINDACORP,small_cap
MMTC,small_cap
MOTHERSON,small_cap
